,texto,polaridad
0,Fabricantes de vino australianos sufren por los duros aranceles de China https://cnn.it/3b6xKaP,Neutral
1,Fabricantes de vino australianos sufren por los duros aranceles de China | Video | CNN Varios países están planteando nuevas restricciones y prohibiciones a grandes empresas de tecnología. ¿Qué impacto pueden tener estas regulaciones en todo el ecosistema del internet? Xavier Serbiá lo analiza con Josep Valor,Neutral
2,Impacto de las nuevas regulaciones de internet en compañías tecnológicas | Video | CNN Paseador de perros de Lady Gaga agradece por el apoyo después del ataque que sufrió y relató el escalofriante momento que vivió: https://cnn.it/3sOhscN,Neutral
3,Paseador de perros de Lady Gaga agradece por el apoyo después del ataque que sufrió | Video | CNN Accidente de autobús en Bolivia deja 20 muertos https://cnn.it/3kE8JXt,Neutral
4,Accidente de autobús en Bolivia deja al menos 20 muertos 5 noticias que debes saber a esta hora,Neutral
5,"5 cosas: Rescatan a 279 estudiantes secuestradas en Nigeria, y otras noticias que debes saber | Video | CNN Meghan Markle pide las copias de la carta de su padre a un tribunal británico https://cnn.it/3uOEYYU",Neutral
6,Meghan Markle pide las copias de la carta de su padre a un tribunal británico | Video | CNN ¿Qué vacuna contra el covid-19 disponible deberías aplicarte? Le preguntamos a una experta https://cnn.it/382VI4Z,Neutral
7,¿Qué vacuna contra el covid-19 disponible deberías aplicarte? Le preguntamos a una experta | CNN Video muestra el momento en el que policías rescatan a mujer de un auto hundiéndose en el agua https://cnn.it/3bTgXaf,Neutral
8,Video muestra a policías rescatando a mujer de un auto hundiéndose en el agua | Video | CNN #Podcast,Neutral
9,La vacuna de segunda generación: ¿cómo se desarrolla? ¿Qué debe hacer Texas para evitar otro fallo de su red eléctrica? https://cnn.it/2MCKEDU,Neutral
10,¿Qué debe hacer Texas para evitar otro fallo de su red eléctrica? | Video | CNN ÚLTIMA HORA,Neutral
11,"Accidente de tráfico en Imperial, California, deja al menos 12 muertos Barçagate: Bartomeu, expresidente del FC Barcelona, es puesto en libertad provisional con cargos https://cnn.it/3q733Xm",Neutral
12,"Bartomeu es puesto en libertad provisional con cargos Brasil está en el peor momento de la pandemia, advierten secretarios de Salud del país https://cnn.it/2PsIw2P",Neutral
13,"Brasil está en el peor momento de la pandemia, advierten autoridades Una misteriosa obra de arte apareció en los muros de una cárcel británica, desatando especulaciones sobre su autor. ¿Fue Banksy?",Neutral
14,¿Está Banksy detrás de esta obra pintada en una célebre cárcel británica? | Video | CNN Pronto podrías llegar a pagar US$ 3 por galón de gasolina en EE.UU.,Neutral
15,Pronto podrías llegar a pagar US$ 3 por galón en EE.UU. ¿Por qué asegura QAnon que Trump volverá al poder el 4 de marzo?,Neutral
16,"El motivo por el que QAnon asegura que Trump volverá al poder el 4 de marzo | Video | CNN Poder comprar una casa por poco más de US$ 1 en Italia parece un sueño, pero no todos están contentos:",Neutral
17,Conoce los problemas con las casas de US$ 1 en Italia Así funciona la vacuna de vector viral de Johnson & Johnson contra el covid-19,Neutral
18,"Así funciona la vacuna de vector viral de Johnson & Johnson contra el covid-19 | Video | CNN El paseador de perros de Lady Gaga describe el desgarrador ataque que sufrió cómo ""una experiencia cercana a la muerte"". Así relató el aterrador episodio:",Neutral
19,Paseador de perros de Lady Gaga relata ataque que terminó con robo de mascotas Así fue el regreso a clases en la Provincia de Buenos Aires,Neutral
20,"El regreso de las clases presenciales en la Provincia de Buenos Aires | Video | CNN Barçagate: Bartomeu se negó a declarar tras su detención, ya fue liberado https://cnn.it/2MD4EGv",Neutral
21,"Barçagate: Bartomeu se negó a declarar tras su detención, ya fue liberado | Video | CNN ¿Por qué la visita del papa Francisco a Iraq marca un hito? https://cnn.it/3bP1esS",Neutral
22,"¿Por qué la visita del papa Francisco a Iraq marca un hito? | Video | CNN Donald y Melania Trump se vacunaron sin decir nada: ""Tuvieron la oportunidad de hacer algo para ser un modelo a seguir de la humanidad y optaron por mantenerlo en secreto"", dice el Dr. Peter Hotez",Neutral
23,Trump y Melania se vacunaron en secreto. ¿Por qué es importante esto? | Video | CNN OPINIÓN | ¿Por qué Pierre Cardin ha sido tan famoso? ¡Muchos no tenían ni la menor idea y ahora lo veneran!,Neutral
24,OPINIÓN | ¿Por qué Pierre Cardin ha sido tan famoso? ¡Muchos no tenían ni la menor idea y ahora lo veneran! | CNN Video muestra a policías rescatando a mujer de un auto hundiéndose en el agua https://cnn.it/381QTZn,Neutral
25,Video muestra a policías rescatando a mujer de un auto hundiéndose en el agua | Video | CNN OPINIÓN | Cuba no es prioridad para Biden https://cnn.it/3dXzBk5,Neutral
26,"OPINIÓN | Cuba no es prioridad para Biden | CNN El expresidente de Estados Unidos Donald Trump y la exprimera dama Melania Trump recibieron la vacuna contra el covid-19 en la Casa Blanca en enero, dijo el lunes un asesor de Trump a CNN. https://cnn.it/3kzewOc",Neutral
27,Donald y Melania Trump ya se vacunaron contra el covid-19 La NASA seleccionó las mejores fotos de Marte del rover Perseverance de esta semana. Míralas aquí:,Neutral
28,"La NASA elige las mejores fotos del rover Perseverance desde Marte cada semana | Video | CNN Este mismo lunes, el Ministerio de Salud de Venezuela aprobó el uso de la vacuna de Sinopharm como parte de su plan de inmunización contra el coronavirus. https://cnn.it/3kzZ9oK",Neutral
29,"Venezuela recibió 500.000 dosis de la vacuna china de Sinopharm Estos cuatro hombres sufrieron serios estragos de la enfermedad por covid-19 pero ahora se encuentran recuperados. Ellos comparten cómo vivieron la hospitalización, qué sintieron ante las complicaciones médicas y lo que la infección hizo a sus cuerpos. https://cnn.it/301fDga",Neutral
30,"Recuperados de covid-19 dan testimonios de desesperación por intubación, drástica pérdida de peso y hasta una pierna amputada | Video | CNN En su tiempo libre, un grupo de maestras estadounidenses del estado de Maryland se dedica a conseguir citas para que adultos mayores puedan aplicarse la vacuna contra el covid-19. https://cnn.it/2NLxiGh",Neutral
31,"Estas ""cazavacunas"" ayudan a los adultos mayores latinos a conseguir citas para vacunarse contra el covid-19 | Video | CNN Subastan el Porsche 911 de Diego Maradona https://cnn.it/3b7tBU0",Neutral
32,Subastan el Porsche 911 de Diego Maradona | CNN Un nuevo estudio sobre el consumo de frutas y vegetales ofrece una guía bastante sencilla: son necesarias cinco porciones al día. https://cnn.it/3sTRIvF,Neutral
33,"¿Cuántas porciones de frutas al día son necesarias? Los 5 países más ""adictos"" al celular (hay dos latinoamericanos). ¿Está tu país en la lista? Mírala aquí:",Neutral
34,"Los 5 países más ""adictos"" al celular ¿Qué señales o síntomas indican que ya tuviste coronavirus y por cuánto se pueden prolongar? Esto es lo que sabemos hasta ahora. https://cnn.it/3b5QRla",Neutral
35,"Síntomas coronavirus: señales que indican que ya tuviste covid-19 Durante la reunión, Joe Biden recordó un viaje a la Ciudad de México donde visitó la imagen de la Virgen de Guadalupe y llevó un rosario que su hijo, Beau, llevaba cuando falleció. https://cnn.it/3053fvK",Neutral
36,"Biden y López Obrador reafirman relación EE.UU.-México ANÁLISIS | En teoría, retrasar los Golden Globes, los Oscar y otros premios aproximadamente dos meses planteaba la oportunidad de ganar tiempo hacia una mayor sensación de normalidad. ¿Funcionó? https://cnn.it/3uOIWAw",Positivo
37,Golden Globes: 6 conclusiones clave que deja la ceremonia de premiación 10 buenas noticias en medio de la pandemia de coronavirus https://cnn.it/3r7NwYs,Positivo
38,"Los movimientos antivacunas deberían evaluar el riesgo versus el beneficio global, dice experto Cinco investigadores elegidos de forma independiente han centrado su atención en el expresidente Donald Trump, una señal de que sus problemas legales van en aumento. https://cnn.it/380ocMH",Neutral
39,"Trump se enfrenta a 5 investigaciones independientes El gobierno de Joe de Biden podría reunir a las familias migrantes separadas en la frontera entre Estados Unidos y México durante el mandato del expresidente Donald Trump, afirmó este lunes el secretario de Seguridad Nacional, Alejandro Mayorkas. https://cnn.it/2MI2qG2",Neutral
40,"Familias migrantes separadas podrían reunirse en EE.UU., dice Mayorkas ¿Cuándo podremos tomar un vuelo de larga distancia? ¿Y los cruceros? ¿Es seguro quedarse en un hotel o en un Airbnb? Expertos responde a estas y otras preguntas. https://cnn.it/302C2tB",Neutral
41,Viajes: ¿cuándo vamos a poder irnos de vacaciones de nuevo? La senadora de Massachusetts Elizabeth Warren propone un impuesto sobre el patrimonio de los 'ultramillonarios' en EE.UU. ¿Buena o mala idea? https://cnn.it/380Ie9L,Neutral
42,"Propone impuesto sobre el patrimonio de los más millonarios A pesar del progreso, los números de covid-19 en EE.UU. siguen siendo alarmantemente altos. Y podrían escalar rápidamente si los estadounidenses cedieran ahora, advierten expertos. https://cnn.it/3bQQ2Mk",Neutral
43,Lo que está en juego en los próximos meses de pandemia en EE.UU. Esto es lo que debes saber para comenzar el día 👇,Neutral
44,📌 Lo que está en juego para el paquete de estímulo,Neutral
45,https://cnn.it/306thyp,Neutral
46,"Las 5 cosas que debes saber este 2 de marzo: EE.UU., entre la tercera vacuna y nuevas preocupaciones | CNN Las tasas actuales de ocupación de las unidades de cuidados intensivos en Brasil son las peores desde que comenzó la pandemia de coronavirus. https://cnn.it/3uKbH1t",Neutral
47,"Coronavirus en Brasil: hospitales llegan al límite entre crisis por variantes Dependiendo de en qué parte del mundo estés, es probable que en unos días tengas que ajustar la hora en tu reloj. ¿Cuándo es el cambio de horario en tu país? https://cnn.it/381i8U4",Neutral
48,"Cambio de horario 2021: cuándo cambia en tu país y otros datos | CNN Se estima que a finales de diciembre de 2020 los inquilinos en EE.UU. le debían a los propietarios entre US$ 30.000 millones y US$ 70.000 millones en rentas, según la Coalición Nacional de Vivienda para Personas de Bajos Recursos. https://cnn.it/3kFBlzU",Neutral
49,"El Departamento de Justicia apela fallo contra la moratoria de desalojos Olvídate de esos brutales gruñidos de los cavernícolas. Los neandertales, nuestros antepasados más cercanos, podrían haber producido los mismos sonidos que los humanos hoy en día. https://cnn.it/3bRa49E",Neutral
50,Los neandertales podían hacer los mismos sonidos que los humanos Millones de estadounidenses comenzarán a quedarse sin subsidios de desempleo por la pandemia dentro de apenas dos semanas. https://cnn.it/3077Mxs,Neutral
51,"Paquete estímulo: se agota el tiempo para aprobarlo. ¿Qué está en juego? El Gobierno de Nicaragua informó que este martes iniciará en el país la jornada de ""vacunación voluntaria contra el covid-19"" con la vacuna rusa Sputnik V, aunque no brindó detalles de los locales, horarios o mecanismos de inmunización. https://cnn.it/3kBAxM6",Neutral
52,"Nicaragua comienza hoy vacunación voluntaria contra covid-19 Los incidentes de violencia doméstica aumentaron en Estados Unidos cerca de un 8,1% tras la imposición de confinamientos relacionados con la pandemia, según un análisis de la Comisión Nacional sobre Covid-19 y Justicia Penal. https://cnn.it/2NWAIFU",Neutral
53,"Violencia doméstica aumentó en EE.UU. durante los confinamientos ¿Un impuesto a los ultramillonarios en EE.UU.? La senadora demócrata Elizabeth Warren deberá convencer a más de uno, incluyendo pesos pesados en su propio partido. https://cnn.it/3kDOsRP",Neutral
